execution_tier,is_today_action,action_rank,action_type,priority,priority_score,Campaign Name,Ad Group Name,diagnosis_object,diagnosis_level,Spend,Sales,Orders,ACOS,Clicks,data_sufficiency,confidence,operation_risk,estimated_savings,estimated_opportunity,spend_share,materiality_level,priority_reason,downgrade_reason,recommendation_reason
,False,,降低竞价,高,100,SP_costco黑_转化_自动_自动_紧密匹配-提降,黑色 自动,loose-match,Targeting,67.74,0.0,0.0,inf,53.0,充分,中,中,0,0,0,,,,点击 53 次、花费 $67.74 且无订单，但相关性仍需人工复核。；CTR 4.81% 高于账户平均，但 CVR 0.00% 明显偏低。
,False,,降低竞价,高,100,SP_costco_转化_关键词_手动_出单词_广泛,,SP_costco_转化_关键词_手动_出单词_广泛,广告活动,42.31,0.0,0.0,inf,30.0,充分,中,中,0,0,0,,,,广告活动花费 42.31、点击 30 且无订单，但暂未达到暂停条件。
,False,,降低竞价,高,100,SP_costco_转化_关键词_手动_出单词_广泛,SP_costco_转化_关键词_手动_出单词_广泛,SP_costco_转化_关键词_手动_出单词_广泛 / SP_costco_转化_关键词_手动_出单词_广泛,广告组,42.31,0.0,0.0,inf,30.0,充分,中,中,0,0,0,,,,广告组点击 30、花费 42.31 且无订单，但暂未达到暂停条件。
,False,,降低竞价,高,100,SP_基础款_转化_商品_手动_出单ASIN,SP_基础款_转化_商品_手动_出单ASIN,cutting board,搜索词,40.46,0.0,0.0,inf,30.0,充分,中,中,0,0,0,,,,点击 30 次、花费 $40.46 且无订单，但相关性仍需人工复核。；CTR 2.44% 高于账户平均，但 CVR 0.00% 明显偏低。
,False,,降低竞价,高,100,SP_基础款_转化_自动_自动_紧密匹配-提降,基础款_SPAT_ALL_No,close-match,Targeting,36.160000000000004,0.0,0.0,inf,32.0,充分,中,中,0,0,0,,,,点击 32 次、花费 $36.16 且无订单，但相关性仍需人工复核。；CTR 26.45% 高于账户平均，但 CVR 0.00% 明显偏低。
,False,,降低竞价,高,100,SP_基础款_转化_自动_自动_紧密匹配-提降,,SP_基础款_转化_自动_自动_紧密匹配-提降,广告活动,36.160000000000004,0.0,0.0,inf,32.0,充分,中,中,0,0,0,,,,广告活动花费 36.16、点击 32 且无订单，但暂未达到暂停条件。
,False,,降低竞价,高,100,SP_基础款_转化_自动_自动_紧密匹配-提降,基础款_SPAT_ALL_No,SP_基础款_转化_自动_自动_紧密匹配-提降 / 基础款_SPAT_ALL_No,广告组,36.160000000000004,0.0,0.0,inf,32.0,充分,中,中,0,0,0,,,,广告组点击 32、花费 36.16 且无订单，但暂未达到暂停条件。
,False,,降低竞价,高,100,SP_costco_转化_商品_手动_出单ASIN,,SP_costco_转化_商品_手动_出单ASIN,广告活动,35.92,0.0,0.0,inf,27.0,充分,中,中,0,0,0,,,,广告活动花费 35.92、点击 27 且无订单，但暂未达到暂停条件。
,False,,降低竞价,高,100,SP_costco_转化_商品_手动_出单ASIN,SP_costco_转化_商品_手动_出单ASIN,SP_costco_转化_商品_手动_出单ASIN / SP_costco_转化_商品_手动_出单ASIN,广告组,35.92,0.0,0.0,inf,27.0,充分,中,中,0,0,0,,,,广告组点击 27、花费 35.92 且无订单，但暂未达到暂停条件。
,False,,提高竞价,高,99,SP_基础套装_转化_自动_自动_紧密匹配-提降,广告组 - 2025-07-18 16:29:48.730,close-match,Targeting,489.67999999999995,2493.86,39.0,0.19635424602824533,345.0,充分,中,高,0,0,0,,,,订单 39 个且 ACOS 19.64% 低于目标的 70%，具备放量空间。；曝光 70677 且 CTR 0.49% 偏低，建议检查主图、标题、价格和相关性。
,False,,提高竞价,高,99,SP_基础套装_转化_自动_自动_紧密匹配-提降,广告组 - 2025-07-18 16:29:48.730,cutting boards for kitchen,搜索词,178.32999999999998,881.14,13.0,0.20238554599723085,129.0,充分,中,高,0,0,0,,,,订单 13 个且 ACOS 20.24% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。；曝光 40899 且 CTR 0.32% 偏低，建议检查主图、标题、价格和相关性。
,False,,提高竞价,高,99,SP_基础款_防守_手动_本品牌出单词,广告组 - 2025-05-23 17:48:11.837,bestcook cutting boards,Targeting,151.52,850.5100000000001,22.0,0.17815193236998977,145.0,充分,中,高,0,0,0,,,,订单 22 个且 ACOS 17.82% 低于目标的 70%，具备放量空间。；曝光 24053 且 CTR 0.60% 偏低，建议检查主图、标题、价格和相关性。
,False,,提高竞价,高,99,SP_基础款_防守_手动_本品牌出单词,广告组 - 2025-05-23 17:48:11.837,bestcook cutting board,搜索词,151.5,892.5000000000001,23.0,0.16974789915966385,146.0,充分,中,高,0,0,0,,,,订单 23 个且 ACOS 16.97% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。；曝光 24032 且 CTR 0.61% 偏低，建议检查主图、标题、价格和相关性。
,False,,提高竞价,高,99,SP_costco黑_转化_自动_自动_紧密匹配-提降,黑色 自动,close-match,Targeting,120.09,645.3799999999999,10.0,0.18607642009358832,93.0,充分,高,高,0,0,0,,,,订单 10 个且 ACOS 18.61% 低于目标的 70%，具备放量空间。
,False,,提高竞价,高,99,SP_costco_转化_自动_自动_紧密匹配-仅降,SP_costco_转化_自动_自动_紧密匹配-仅降,close-match,Targeting,57.81,393.09,7.0,0.14706555750591468,42.0,充分,高,高,0,0,0,,,,订单 7 个且 ACOS 14.71% 低于目标的 70%，具备放量空间。
,False,,提高竞价,高,99,SP_新凹槽款_转化_关键词_手动_wood fiber-提降,广告组 - 2025-05-20 14:22:02.869,bestcook wood fiber cutting board,搜索词,55.39000000000001,359.44,9.0,0.15410082350322726,55.0,充分,高,高,0,0,0,,,,订单 9 个且 ACOS 15.41% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
,False,,提高竞价,高,99,SP_costco_转化_关键词_手动_出单词_精准,SP_costco_转化_关键词_手动_出单词,wood fibre cutting board,Targeting,49.35999999999999,302.76,4.0,0.1630334258158277,29.0,充分,高,高,0,0,0,,,,订单 4 个且 ACOS 16.30% 低于目标的 70%，具备放量空间。
,False,,提高竞价,高,99,SP_costco_转化_关键词_手动_出单词_精准,SP_costco_转化_关键词_手动_出单词,wood fibre cutting board,搜索词,49.35999999999999,302.76,4.0,0.1630334258158277,29.0,充分,高,高,0,0,0,,,,订单 4 个且 ACOS 16.30% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
,False,,提高竞价,高,99,SP_基础套装_引流_关键词_手动_大词_广泛,大词,cutting board,Targeting,48.98,391.77,6.0,0.1250223345330168,51.0,充分,高,高,0,0,0,,,,订单 6 个且 ACOS 12.50% 低于目标的 70%，具备放量空间。
,False,,提高竞价,高,99,SP_新凹槽款_转化_关键词_手动_出单词_词组,SP_新凹槽款_转化_关键词_手动_出单词_词组,epicurean cutting board,Targeting,48.029999999999994,355.69,10.0,0.13503331552756612,51.0,充分,高,高,0,0,0,,,,订单 10 个且 ACOS 13.50% 低于目标的 70%，具备放量空间。
,False,,增加预算,高,99,SP_基础套装_转化_自动_自动_紧密匹配-提降,广告组 - 2025-07-18 16:29:48.730,SP_基础套装_转化_自动_自动_紧密匹配-提降 / 广告组 - 2025-07-18 16:29:48.730,广告组,489.67999999999995,2493.86,39.0,0.19635424602824533,345.0,充分,中,高,0,0,0,,,,广告组订单 39 且 ACOS 19.64% 健康，可承接更多预算。
,False,,增加预算,高,99,SP_基础套装_转化_关键词_手动_出单词_精准,SP_基础套装_转化_关键词_手动_出单词_精准,SP_基础套装_转化_关键词_手动_出单词_精准 / SP_基础套装_转化_关键词_手动_出单词_精准,广告组,173.19,1261.07,22.0,0.13733575455763758,174.0,充分,中,高,0,0,0,,,,广告组订单 22 且 ACOS 13.73% 健康，可承接更多预算。
,False,,增加预算,高,99,SP_基础款_防守_手动_本品牌出单词,广告组 - 2025-05-23 17:48:11.837,SP_基础款_防守_手动_本品牌出单词 / 广告组 - 2025-05-23 17:48:11.837,广告组,162.77,1046.45,27.0,0.15554493764632807,158.0,充分,中,高,0,0,0,,,,广告组订单 27 且 ACOS 15.55% 健康，可承接更多预算。
,False,,增加预算,高,99,SP_基础套装_转化_关键词_手动_核心词-词组,广告组 - 2026-01-23 10:20:05.155,SP_基础套装_转化_关键词_手动_核心词-词组 / 广告组 - 2026-01-23 10:20:05.155,广告组,96.24,574.86,7.0,0.16741467487736142,91.0,充分,中,高,0,0,0,,,,广告组订单 7 且 ACOS 16.74% 健康，可承接更多预算。
,False,,增加预算,高,99,SP_costco_转化_关键词_手动_长尾词-词组,广告组 - 2024-07-17 15:24:56.726,SP_costco_转化_关键词_手动_长尾词-词组 / 广告组 - 2024-07-17 15:24:56.726,广告组,74.87,471.62,6.0,0.1587506891141173,63.0,充分,中,高,0,0,0,,,,广告组订单 6 且 ACOS 15.88% 健康，可承接更多预算。
,False,,增加预算,高,99,SP_costco_转化_关键词_手动_出单词_词组,SP_costco_转化_关键词_手动_出单词_词组,SP_costco_转化_关键词_手动_出单词_词组 / SP_costco_转化_关键词_手动_出单词_词组,广告组,59.870000000000005,382.99,5.0,0.1563226193895402,41.0,充分,中,高,0,0,0,,,,广告组订单 5 且 ACOS 15.63% 健康，可承接更多预算。
,False,,增加预算,高,99,SP_基础套装_转化_关键词_手动_核心词-精准,Ad group - 2026-02-20 00:26:52.335,SP_基础套装_转化_关键词_手动_核心词-精准 / Ad group - 2026-02-20 00:26:52.335,广告组,58.769999999999996,301.45000000000005,5.0,0.19495770442859509,59.0,充分,中,高,0,0,0,,,,广告组订单 5 且 ACOS 19.50% 健康，可承接更多预算。
,False,,增加预算,高,99,SP_costco_转化_自动_自动_紧密匹配-仅降,SP_costco_转化_自动_自动_紧密匹配-仅降,SP_costco_转化_自动_自动_紧密匹配-仅降 / SP_costco_转化_自动_自动_紧密匹配-仅降,广告组,57.81,393.09,7.0,0.14706555750591468,42.0,充分,中,高,0,0,0,,,,广告组订单 7 且 ACOS 14.71% 健康，可承接更多预算。
,False,,增加预算,高,99,SP_基础套装_引流_关键词_手动_大词_广泛,大词,SP_基础套装_引流_关键词_手动_大词_广泛 / 大词,广告组,48.98,391.77,6.0,0.1250223345330168,51.0,充分,中,高,0,0,0,,,,广告组订单 6 且 ACOS 12.50% 健康，可承接更多预算。
