execution_tier,is_today_action,action_rank,action_type,priority,priority_score,Campaign Name,Ad Group Name,diagnosis_object,diagnosis_level,Spend,Sales,Orders,ACOS,Clicks,data_sufficiency,confidence,operation_risk,estimated_savings,estimated_opportunity,spend_share,materiality_level,priority_reason,downgrade_reason,recommendation_reason
P0,True,1,降低竞价,高,85,SP_costco黑_转化_自动_自动_紧密匹配-提降,黑色 自动,loose-match,Targeting,67.74,0.0,0.0,inf,53.0,充分,中,中,67.74,0.0,0.007957297948769756,高,影响层级 高；预估节省 $67.74；预估机会 0.00；花费占比 0.80%；数据充分性 充分；置信度 中。,,点击 53 次、花费 $67.74 且无订单，但相关性仍需人工复核。；CTR 4.81% 高于账户平均，但 CVR 0.00% 明显偏低。
P0,True,2,降低竞价,高,84,SP_基础款_转化_商品_手动_出单ASIN,SP_基础款_转化_商品_手动_出单ASIN,cutting board,搜索词,40.46,0.0,0.0,inf,30.0,充分,中,中,40.46,0.0,0.004752764614809926,高,影响层级 高；预估节省 $40.46；预估机会 0.00；花费占比 0.48%；数据充分性 充分；置信度 中。,,点击 30 次、花费 $40.46 且无订单，但相关性仍需人工复核。；CTR 2.44% 高于账户平均，但 CVR 0.00% 明显偏低。
P0,True,3,降低竞价,高,83,SP_基础款_引流_自动_自动_同类-提降,Ad group - 2026-02-19 21:37:20.376,close-match,Targeting,49.11,48.58,2.0,1.0109098394400988,59.0,充分,中,中,34.536,0.0,0.005768864810511998,高,影响层级 高；预估节省 $34.54；预估机会 0.00；花费占比 0.58%；数据充分性 充分；置信度 中。,,已有订单但 ACOS 101.09% 高于目标 30.00%。
P0,True,4,降低竞价,高,81,SP_基础款_转化_自动_自动_紧密匹配-提降,基础款_SPAT_ALL_No,close-match,Targeting,36.160000000000004,0.0,0.0,inf,32.0,充分,中,中,36.160000000000004,0.0,0.004247651222726814,高,影响层级 高；预估节省 $36.16；预估机会 0.00；花费占比 0.42%；数据充分性 充分；置信度 中。,,点击 32 次、花费 $36.16 且无订单，但相关性仍需人工复核。；CTR 26.45% 高于账户平均，但 CVR 0.00% 明显偏低。
P1,False,1,降低竞价,高,84,SP_costco_转化_关键词_手动_出单词_广泛,SP_costco_转化_关键词_手动_出单词_广泛,SP_costco_转化_关键词_手动_出单词_广泛 / SP_costco_转化_关键词_手动_出单词_广泛,广告组,42.31,0.0,0.0,inf,30.0,充分,中,中,42.31,0.0,0.00497008084163638,高,影响层级 高；预估节省 $42.31；预估机会 0.00；花费占比 0.50%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；不满足 P0 收敛条件,广告组点击 30、花费 42.31 且无订单，但暂未达到暂停条件。
P1,False,2,降低竞价,高,84,SP_costco_转化_关键词_手动_出单词_广泛,,SP_costco_转化_关键词_手动_出单词_广泛,广告活动,42.31,0.0,0.0,inf,30.0,充分,中,中,42.31,0.0,0.00497008084163638,高,影响层级 高；预估节省 $42.31；预估机会 0.00；花费占比 0.50%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；不满足 P0 收敛条件,广告活动花费 42.31、点击 30 且无订单，但暂未达到暂停条件。
P1,False,3,提高竞价,高,83,SP_costco黑_转化_自动_自动_紧密匹配-提降,黑色 自动,close-match,Targeting,120.09,645.3799999999999,10.0,0.18607642009358832,93.0,充分,高,高,0.0,645.3799999999999,0.014106759826804843,高,影响层级 高；预估节省 $0.00；预估机会 645.38；花费占比 1.41%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；不满足 P0 收敛条件,订单 10 个且 ACOS 18.61% 低于目标的 70%，具备放量空间。
P1,False,4,降低竞价,高,81,SP_基础款_转化_自动_自动_紧密匹配-提降,基础款_SPAT_ALL_No,SP_基础款_转化_自动_自动_紧密匹配-提降 / 基础款_SPAT_ALL_No,广告组,36.160000000000004,0.0,0.0,inf,32.0,充分,中,中,36.160000000000004,0.0,0.004247651222726814,高,影响层级 高；预估节省 $36.16；预估机会 0.00；花费占比 0.42%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；不满足 P0 收敛条件,广告组点击 32、花费 36.16 且无订单，但暂未达到暂停条件。
P1,False,5,降低竞价,高,81,SP_基础款_转化_自动_自动_紧密匹配-提降,,SP_基础款_转化_自动_自动_紧密匹配-提降,广告活动,36.160000000000004,0.0,0.0,inf,32.0,充分,中,中,36.160000000000004,0.0,0.004247651222726814,高,影响层级 高；预估节省 $36.16；预估机会 0.00；花费占比 0.42%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；不满足 P0 收敛条件,广告活动花费 36.16、点击 32 且无订单，但暂未达到暂停条件。
P1,False,6,提高竞价,高,80,SP_基础套装_转化_自动_自动_紧密匹配-提降,广告组 - 2025-07-18 16:29:48.730,close-match,Targeting,489.67999999999995,2493.86,39.0,0.19635424602824533,345.0,充分,中,高,0.0,2493.86,0.05752184321750183,高,影响层级 高；预估节省 $0.00；预估机会 2493.86；花费占比 5.75%；数据充分性 充分；置信度 中。,操作风险较高，需要人工复核；不满足 P0 收敛条件,订单 39 个且 ACOS 19.64% 低于目标的 70%，具备放量空间。；曝光 70677 且 CTR 0.49% 偏低，建议检查主图、标题、价格和相关性。
